index,id,title,url,duration_seconds,themes,assets
128,BgfTSZXNUa0,投資特斯拉消逝的四年,https://www.youtube.com/watch?v=BgfTSZXNUa0,886.0,equities_single_names,TSLA / Tesla
129,MvdwRa5nNO4,Nvidia會重演Cisco的歷史嗎？,https://www.youtube.com/watch?v=MvdwRa5nNO4,810.0,equities_single_names,NVDA / Nvidia
130,6gjoMD3qDq8,所以降息股票是漲還是跌？,https://www.youtube.com/watch?v=6gjoMD3qDq8,670.0,,
131,GfcrfcJpGbw,美國要開始屯幣了？,https://www.youtube.com/watch?v=GfcrfcJpGbw,802.0,,
132,f-OOnm7pv_s,學霸公開矽谷水果公司非工程師薪水 @JerrySaysCheese,https://www.youtube.com/watch?v=f-OOnm7pv_s,797.0,portfolio_disclosure;career_wealth,
133,dmjCg7cGlW8,趴懶要噴射了｜Palantir有多猛,https://www.youtube.com/watch?v=dmjCg7cGlW8,715.0,equities_single_names,PLTR / Palantir
134,7jMD0AKhW10,幣圈交易員分享成功秘笈，從十萬到千萬,https://www.youtube.com/watch?v=7jMD0AKhW10,1014.0,,
135,nUvHiUaEIOw,房地產什麼時候崩盤？,https://www.youtube.com/watch?v=nUvHiUaEIOw,937.0,real_estate,Airbnb / rental real estate
136,ixG4OLDnHzM,邊工作邊找穿韓服的妹子,https://www.youtube.com/watch?v=ixG4OLDnHzM,608.0,,
137,JoKtRXg89bk,我辭職了,https://www.youtube.com/watch?v=JoKtRXg89bk,795.0,,
138,g4uA-hK_ouY,我把Cybertruck當垃圾車,https://www.youtube.com/watch?v=g4uA-hK_ouY,725.0,,
139,2gxNM-5HaYA,Alpha Picks值不值得訂閱？,https://www.youtube.com/watch?v=2gxNM-5HaYA,694.0,,
140,_kpyMxtTMCk,美國有比台灣生活品質更好？,https://www.youtube.com/watch?v=_kpyMxtTMCk,698.0,,
141,Y-9KCih1zOA,揭開能讓你賺錢的商業思維 ft. 汪志謙老師,https://www.youtube.com/watch?v=Y-9KCih1zOA,770.0,,
142,d5vU_IcnLQY,40萬訂閱真心話大冒險 Part 2,https://www.youtube.com/watch?v=d5vU_IcnLQY,753.0,,
143,LrjIsA0qnrE,40萬訂閱真心話大冒險 Part 1,https://www.youtube.com/watch?v=LrjIsA0qnrE,801.0,,
144,-juM640BPnw,可能美國更適合你,https://www.youtube.com/watch?v=-juM640BPnw,692.0,,
145,g6jbYUdj36Y,USDT穩定幣會倒閉嗎？,https://www.youtube.com/watch?v=g6jbYUdj36Y,760.0,crypto,Stablecoins / crypto lending
146,MWXffsMmz-o,特斯拉裁員500人超級充電團隊的真正原因,https://www.youtube.com/watch?v=MWXffsMmz-o,511.0,equities_single_names;career_wealth,TSLA / Tesla
147,OAjivEnWHcA,我的Turo生意收攤了,https://www.youtube.com/watch?v=OAjivEnWHcA,672.0,,
148,03PrnQPmi6o,以太準備要噴射了,https://www.youtube.com/watch?v=03PrnQPmi6o,609.0,,
149,0CV8JlhHSA4,投資可以照抄作業嗎？,https://www.youtube.com/watch?v=0CV8JlhHSA4,474.0,,
150,-AvpXoF6O3U,矽谷資深產品經理收入公開 ft.@chloeshih,https://www.youtube.com/watch?v=-AvpXoF6O3U,802.0,portfolio_disclosure,
151,0JpAC7XvdYY,從黃金價格漲跌看當前投資交易策略 ft. DecodeEX首席策略分析師,https://www.youtube.com/watch?v=0JpAC7XvdYY,856.0,learning_tools,
152,P1SqFI4RMrY,我的加密貨幣持倉,https://www.youtube.com/watch?v=P1SqFI4RMrY,551.0,crypto,
153,p7FqJm0qyEM,你確定要來美國？,https://www.youtube.com/watch?v=p7FqJm0qyEM,647.0,,
154,mkRNzJ5iasA,投資美股怎麼選？（非業配）,https://www.youtube.com/watch?v=mkRNzJ5iasA,786.0,,
155,Ea_eEXei4c8,遇到有毒工作環境怎麼辦？,https://www.youtube.com/watch?v=Ea_eEXei4c8,676.0,,
156,eiqrVenTXD4,我們需要聊一下特斯拉,https://www.youtube.com/watch?v=eiqrVenTXD4,904.0,equities_single_names,TSLA / Tesla
157,9QRA-rCUA5U,為什麼分配5%的資產在加密貨幣,https://www.youtube.com/watch?v=9QRA-rCUA5U,598.0,crypto,
158,TXhmc6ryMIg,目前市場都在最高點，要怎麼投資？feat. 總經分析師 @kukantieh,https://www.youtube.com/watch?v=TXhmc6ryMIg,905.0,macro_regime;learning_tools,
159,eO-XgTedlsQ,Gate.io IEO Startup 空投,https://www.youtube.com/watch?v=eO-XgTedlsQ,409.0,,
160,Xy1VVfbBBLU,自動駕駛終於有希望了,https://www.youtube.com/watch?v=Xy1VVfbBBLU,1041.0,,
161,yp-Wp4nIWp0,終於拿到賠償，但是虧損繼續,https://www.youtube.com/watch?v=yp-Wp4nIWp0,523.0,,
162,235KLJfaPlQ,連我媽都會用的自動交易機器人,https://www.youtube.com/watch?v=235KLJfaPlQ,632.0,,
163,rIupufjIp5M,各位觀眾,https://www.youtube.com/watch?v=rIupufjIp5M,154.0,,
164,32lXkmZM8pQ,西雅圖最危險最黑暗的角落,https://www.youtube.com/watch?v=32lXkmZM8pQ,707.0,,
165,_i2febc-9jY,自動駕駛終極對決：Tesla vs Waymo,https://www.youtube.com/watch?v=_i2febc-9jY,862.0,equities_single_names,TSLA / Tesla
166,SrtvkPL15R0,我所有的股票,https://www.youtube.com/watch?v=SrtvkPL15R0,805.0,,
167,ht3VXIYQIqU,我到底在投資三小,https://www.youtube.com/watch?v=ht3VXIYQIqU,824.0,,
168,NhiosK0JSKU,我人生第一桶$100萬美金,https://www.youtube.com/watch?v=NhiosK0JSKU,823.0,,
169,A8GWS00nYDQ,數據科學家薪水｜美國，中國，台灣統一？,https://www.youtube.com/watch?v=A8GWS00nYDQ,875.0,career_wealth,
170,YoS3MZVa6Cc,CFD差價合約：讓資本放大的雙刃劍,https://www.youtube.com/watch?v=YoS3MZVa6Cc,579.0,,
171,NZlhYG1YIas,我天使投資了一家公司,https://www.youtube.com/watch?v=NZlhYG1YIas,561.0,,
172,WL47wW4ail8,不要投資特斯拉,https://www.youtube.com/watch?v=WL47wW4ail8,780.0,equities_single_names,TSLA / Tesla
